campagne,date,jour,variable,groupe_age,valeur
2021-2022,2022-01-27,98,DOSES(J07E1),65 ans et plus,3074
2021-2022,2022-01-27,98,ACTE(VGP),moins de 65 ans,861
2021-2022,2022-01-27,98,DOSES(J07E1),moins de 65 ans,1908
2021-2022,2022-01-28,99,ACTE(VGP),65 ans et plus,1578
2021-2022,2022-01-28,99,DOSES(J07E1),65 ans et plus,2584
2021-2022,2022-01-28,99,ACTE(VGP),moins de 65 ans,913
2021-2022,2022-01-28,99,DOSES(J07E1),moins de 65 ans,1967
2021-2022,2022-01-29,100,ACTE(VGP),65 ans et plus,783
2021-2022,2022-01-29,100,DOSES(J07E1),65 ans et plus,1829
2021-2022,2022-01-29,100,ACTE(VGP),moins de 65 ans,568
2021-2022,2022-01-29,100,DOSES(J07E1),moins de 65 ans,1163
2021-2022,2022-01-30,101,ACTE(VGP),65 ans et plus,42
2021-2022,2022-01-30,101,DOSES(J07E1),65 ans et plus,82
2021-2022,2022-01-30,101,ACTE(VGP),moins de 65 ans,58
2021-2022,2022-01-30,101,DOSES(J07E1),moins de 65 ans,51
2021-2022,2022-01-31,102,ACTE(VGP),65 ans et plus,1612
2021-2022,2022-01-31,102,DOSES(J07E1),65 ans et plus,2637
2021-2022,2022-01-31,102,ACTE(VGP),moins de 65 ans,853
2021-2022,2022-01-31,102,DOSES(J07E1),moins de 65 ans,1841
2021-2022,2022-02-01,103,ACTE(VGP),65 ans et plus,1154
2021-2022,2022-02-01,103,DOSES(J07E1),65 ans et plus,1375
2021-2022,2022-02-01,103,ACTE(VGP),moins de 65 ans,645
2021-2022,2022-02-01,103,DOSES(J07E1),moins de 65 ans,1146
2021-2022,2022-02-02,104,ACTE(VGP),65 ans et plus,684
2021-2022,2022-02-02,104,DOSES(J07E1),65 ans et plus,1001
2021-2022,2022-02-02,104,ACTE(VGP),moins de 65 ans,463
2021-2022,2022-02-02,104,DOSES(J07E1),moins de 65 ans,950
2021-2022,2022-02-03,105,ACTE(VGP),65 ans et plus,897
2021-2022,2022-02-03,105,DOSES(J07E1),65 ans et plus,1099
2021-2022,2022-02-03,105,ACTE(VGP),moins de 65 ans,489
2021-2022,2022-02-03,105,DOSES(J07E1),moins de 65 ans,851
2021-2022,2022-02-04,106,ACTE(VGP),65 ans et plus,843
2021-2022,2022-02-04,106,DOSES(J07E1),65 ans et plus,1221
2021-2022,2022-02-04,106,ACTE(VGP),moins de 65 ans,540
2021-2022,2022-02-04,106,DOSES(J07E1),moins de 65 ans,1145
2021-2022,2022-02-05,107,ACTE(VGP),65 ans et plus,415
2021-2022,2022-02-05,107,DOSES(J07E1),65 ans et plus,556
2021-2022,2022-02-05,107,ACTE(VGP),moins de 65 ans,276
2021-2022,2022-02-05,107,DOSES(J07E1),moins de 65 ans,591
2021-2022,2022-02-06,108,ACTE(VGP),65 ans et plus,46
2021-2022,2022-02-06,108,DOSES(J07E1),65 ans et plus,92
2021-2022,2022-02-06,108,ACTE(VGP),moins de 65 ans,32
2021-2022,2022-02-06,108,DOSES(J07E1),moins de 65 ans,67
2021-2022,2022-02-07,109,ACTE(VGP),65 ans et plus,752
2021-2022,2022-02-07,109,DOSES(J07E1),65 ans et plus,998
2021-2022,2022-02-07,109,ACTE(VGP),moins de 65 ans,445
2021-2022,2022-02-07,109,DOSES(J07E1),moins de 65 ans,953
2021-2022,2022-02-08,110,ACTE(VGP),65 ans et plus,795
2021-2022,2022-02-08,110,DOSES(J07E1),65 ans et plus,852
2021-2022,2022-02-08,110,ACTE(VGP),moins de 65 ans,526
2021-2022,2022-02-08,110,DOSES(J07E1),moins de 65 ans,888
2021-2022,2022-02-09,111,ACTE(VGP),65 ans et plus,690
2021-2022,2022-02-09,111,DOSES(J07E1),65 ans et plus,788
2021-2022,2022-02-09,111,ACTE(VGP),moins de 65 ans,453
2021-2022,2022-02-09,111,DOSES(J07E1),moins de 65 ans,813
2021-2022,2022-02-10,112,ACTE(VGP),65 ans et plus,733
2021-2022,2022-02-10,112,DOSES(J07E1),65 ans et plus,964
2021-2022,2022-02-10,112,ACTE(VGP),moins de 65 ans,473
2021-2022,2022-02-10,112,DOSES(J07E1),moins de 65 ans,911
2021-2022,2022-02-11,113,ACTE(VGP),65 ans et plus,733
2021-2022,2022-02-11,113,DOSES(J07E1),65 ans et plus,958
2021-2022,2022-02-11,113,ACTE(VGP),moins de 65 ans,360
2021-2022,2022-02-11,113,DOSES(J07E1),moins de 65 ans,658
2021-2022,2022-02-12,114,ACTE(VGP),65 ans et plus,328
2021-2022,2022-02-12,114,DOSES(J07E1),65 ans et plus,500
2021-2022,2022-02-12,114,ACTE(VGP),moins de 65 ans,192
2021-2022,2022-02-12,114,DOSES(J07E1),moins de 65 ans,517
2021-2022,2022-02-13,115,ACTE(VGP),65 ans et plus,125
2021-2022,2022-02-13,115,DOSES(J07E1),65 ans et plus,254
2021-2022,2022-02-13,115,ACTE(VGP),moins de 65 ans,32
2021-2022,2022-02-13,115,DOSES(J07E1),moins de 65 ans,48
2021-2022,2022-02-14,116,ACTE(VGP),65 ans et plus,651
2021-2022,2022-02-14,116,DOSES(J07E1),65 ans et plus,654
2021-2022,2022-02-14,116,ACTE(VGP),moins de 65 ans,397
2021-2022,2022-02-14,116,DOSES(J07E1),moins de 65 ans,652
2021-2022,2022-02-15,117,ACTE(VGP),65 ans et plus,643
2021-2022,2022-02-15,117,DOSES(J07E1),65 ans et plus,656
2021-2022,2022-02-15,117,ACTE(VGP),moins de 65 ans,417
2021-2022,2022-02-15,117,DOSES(J07E1),moins de 65 ans,619
2021-2022,2022-02-16,118,ACTE(VGP),65 ans et plus,773
2021-2022,2022-02-16,118,DOSES(J07E1),65 ans et plus,443
2021-2022,2022-02-16,118,ACTE(VGP),moins de 65 ans,337
2021-2022,2022-02-16,118,DOSES(J07E1),moins de 65 ans,644
2021-2022,2022-02-17,119,ACTE(VGP),65 ans et plus,620
2021-2022,2022-02-17,119,DOSES(J07E1),65 ans et plus,706
2021-2022,2022-02-17,119,ACTE(VGP),moins de 65 ans,419
2021-2022,2022-02-17,119,DOSES(J07E1),moins de 65 ans,695
2021-2022,2022-02-18,120,ACTE(VGP),65 ans et plus,714
2021-2022,2022-02-18,120,DOSES(J07E1),65 ans et plus,1177
2021-2022,2022-02-18,120,ACTE(VGP),moins de 65 ans,399
2021-2022,2022-02-18,120,DOSES(J07E1),moins de 65 ans,737
2021-2022,2022-02-19,121,ACTE(VGP),65 ans et plus,416
2021-2022,2022-02-19,121,DOSES(J07E1),65 ans et plus,538
2021-2022,2022-02-19,121,ACTE(VGP),moins de 65 ans,235
2021-2022,2022-02-19,121,DOSES(J07E1),moins de 65 ans,373
2021-2022,2022-02-20,122,ACTE(VGP),65 ans et plus,45
2021-2022,2022-02-20,122,DOSES(J07E1),65 ans et plus,13
2021-2022,2022-02-20,122,ACTE(VGP),moins de 65 ans,28
2021-2022,2022-02-20,122,DOSES(J07E1),moins de 65 ans,30
2021-2022,2022-02-21,123,ACTE(VGP),65 ans et plus,734
2021-2022,2022-02-21,123,DOSES(J07E1),65 ans et plus,795
2021-2022,2022-02-21,123,ACTE(VGP),moins de 65 ans,412
2021-2022,2022-02-21,123,DOSES(J07E1),moins de 65 ans,662
2021-2022,2022-02-22,124,ACTE(VGP),65 ans et plus,562
2021-2022,2022-02-22,124,DOSES(J07E1),65 ans et plus,752
2021-2022,2022-02-22,124,ACTE(VGP),moins de 65 ans,363
2021-2022,2022-02-22,124,DOSES(J07E1),moins de 65 ans,695
2021-2022,2022-02-23,125,ACTE(VGP),65 ans et plus,573
2021-2022,2022-02-23,125,DOSES(J07E1),65 ans et plus,1040
2021-2022,2022-02-23,125,ACTE(VGP),moins de 65 ans,374
2021-2022,2022-02-23,125,DOSES(J07E1),moins de 65 ans,733
2021-2022,2022-02-24,126,ACTE(VGP),65 ans et plus,534
2021-2022,2022-02-24,126,DOSES(J07E1),65 ans et plus,675
2021-2022,2022-02-24,126,ACTE(VGP),moins de 65 ans,319
2021-2022,2022-02-24,126,DOSES(J07E1),moins de 65 ans,583
2021-2022,2022-02-25,127,ACTE(VGP),65 ans et plus,652
2021-2022,2022-02-25,127,DOSES(J07E1),65 ans et plus,521
2021-2022,2022-02-25,127,ACTE(VGP),moins de 65 ans,335
2021-2022,2022-02-25,127,DOSES(J07E1),moins de 65 ans,517
2021-2022,2022-02-26,128,ACTE(VGP),65 ans et plus,205
2021-2022,2022-02-26,128,DOSES(J07E1),65 ans et plus,678
2021-2022,2022-02-26,128,ACTE(VGP),moins de 65 ans,169
2021-2022,2022-02-26,128,DOSES(J07E1),moins de 65 ans,265
2021-2022,2022-02-27,129,ACTE(VGP),65 ans et plus,82
2021-2022,2022-02-27,129,DOSES(J07E1),65 ans et plus,72
2021-2022,2022-02-27,129,ACTE(VGP),moins de 65 ans,21
2021-2022,2022-02-27,129,DOSES(J07E1),moins de 65 ans,44
2021-2022,2022-02-28,130,ACTE(VGP),65 ans et plus,530
2021-2022,2022-02-28,130,DOSES(J07E1),65 ans et plus,1150
2021-2022,2022-02-28,130,ACTE(VGP),moins de 65 ans,289
2021-2022,2022-02-28,130,DOSES(J07E1),moins de 65 ans,736
2022-2023,2022-10-18,1,ACTE(VGP),65 ans et plus,149739
2022-2023,2022-10-18,1,DOSES(J07E1),65 ans et plus,555059
2022-2023,2022-10-18,1,ACTE(VGP),moins de 65 ans,37380
2022-2023,2022-10-18,1,DOSES(J07E1),moins de 65 ans,119448
2022-2023,2022-10-19,2,ACTE(VGP),65 ans et plus,120484
2022-2023,2022-10-19,2,DOSES(J07E1),65 ans et plus,396041
2022-2023,2022-10-19,2,ACTE(VGP),moins de 65 ans,27396
2022-2023,2022-10-19,2,DOSES(J07E1),moins de 65 ans,82064
2022-2023,2022-10-20,3,ACTE(VGP),65 ans et plus,108450
2022-2023,2022-10-20,3,DOSES(J07E1),65 ans et plus,332013
2022-2023,2022-10-20,3,ACTE(VGP),moins de 65 ans,23765
2022-2023,2022-10-20,3,DOSES(J07E1),moins de 65 ans,66854
2022-2023,2022-10-21,4,ACTE(VGP),65 ans et plus,109942
2022-2023,2022-10-21,4,DOSES(J07E1),65 ans et plus,284934
2022-2023,2022-10-21,4,ACTE(VGP),moins de 65 ans,24291
2022-2023,2022-10-21,4,DOSES(J07E1),moins de 65 ans,65265
2022-2023,2022-10-22,5,ACTE(VGP),65 ans et plus,30803
2022-2023,2022-10-22,5,DOSES(J07E1),65 ans et plus,123654
2022-2023,2022-10-22,5,ACTE(VGP),moins de 65 ans,13179
2022-2023,2022-10-22,5,DOSES(J07E1),moins de 65 ans,37333
2022-2023,2022-10-23,6,ACTE(VGP),65 ans et plus,671
2022-2023,2022-10-23,6,DOSES(J07E1),65 ans et plus,1346
2022-2023,2022-10-23,6,ACTE(VGP),moins de 65 ans,295
2022-2023,2022-10-23,6,DOSES(J07E1),moins de 65 ans,573
2022-2023,2022-10-24,7,ACTE(VGP),65 ans et plus,81614
2022-2023,2022-10-24,7,DOSES(J07E1),65 ans et plus,224971
2022-2023,2022-10-24,7,ACTE(VGP),moins de 65 ans,19431
2022-2023,2022-10-24,7,DOSES(J07E1),moins de 65 ans,51813
2022-2023,2022-10-25,8,ACTE(VGP),65 ans et plus,98327
2022-2023,2022-10-25,8,DOSES(J07E1),65 ans et plus,253772
2022-2023,2022-10-25,8,ACTE(VGP),moins de 65 ans,20340
2022-2023,2022-10-25,8,DOSES(J07E1),moins de 65 ans,53815
2022-2023,2022-10-26,9,ACTE(VGP),65 ans et plus,74157
2022-2023,2022-10-26,9,DOSES(J07E1),65 ans et plus,198278
2022-2023,2022-10-26,9,ACTE(VGP),moins de 65 ans,17048
2022-2023,2022-10-26,9,DOSES(J07E1),moins de 65 ans,45902
2022-2023,2022-10-27,10,ACTE(VGP),65 ans et plus,69950
2022-2023,2022-10-27,10,DOSES(J07E1),65 ans et plus,185155
2022-2023,2022-10-27,10,ACTE(VGP),moins de 65 ans,16212
2022-2023,2022-10-27,10,DOSES(J07E1),moins de 65 ans,42811
2022-2023,2022-10-28,11,ACTE(VGP),65 ans et plus,68039
2022-2023,2022-10-28,11,DOSES(J07E1),65 ans et plus,176185
2022-2023,2022-10-28,11,ACTE(VGP),moins de 65 ans,17827
2022-2023,2022-10-28,11,DOSES(J07E1),moins de 65 ans,45227
2022-2023,2022-10-29,12,ACTE(VGP),65 ans et plus,21996
2022-2023,2022-10-29,12,DOSES(J07E1),65 ans et plus,77062
2022-2023,2022-10-29,12,ACTE(VGP),moins de 65 ans,9348
2022-2023,2022-10-29,12,DOSES(J07E1),moins de 65 ans,25269
2022-2023,2022-10-30,13,ACTE(VGP),65 ans et plus,328
2022-2023,2022-10-30,13,DOSES(J07E1),65 ans et plus,748
2022-2023,2022-10-30,13,ACTE(VGP),moins de 65 ans,150
2022-2023,2022-10-30,13,DOSES(J07E1),moins de 65 ans,327
2022-2023,2022-10-31,14,ACTE(VGP),65 ans et plus,54934
2022-2023,2022-10-31,14,DOSES(J07E1),65 ans et plus,146846
2022-2023,2022-10-31,14,ACTE(VGP),moins de 65 ans,16339
2022-2023,2022-10-31,14,DOSES(J07E1),moins de 65 ans,41258
2022-2023,2022-11-01,15,ACTE(VGP),65 ans et plus,590
2022-2023,2022-11-01,15,DOSES(J07E1),65 ans et plus,1399
2022-2023,2022-11-01,15,ACTE(VGP),moins de 65 ans,256
2022-2023,2022-11-01,15,DOSES(J07E1),moins de 65 ans,642
2022-2023,2022-11-02,16,ACTE(VGP),65 ans et plus,96597
2022-2023,2022-11-02,16,DOSES(J07E1),65 ans et plus,234277
2022-2023,2022-11-02,16,ACTE(VGP),moins de 65 ans,20145
2022-2023,2022-11-02,16,DOSES(J07E1),moins de 65 ans,52257
2022-2023,2022-11-03,17,ACTE(VGP),65 ans et plus,93660
2022-2023,2022-11-03,17,DOSES(J07E1),65 ans et plus,217316
2022-2023,2022-11-03,17,ACTE(VGP),moins de 65 ans,19878
2022-2023,2022-11-03,17,DOSES(J07E1),moins de 65 ans,49363
2022-2023,2022-11-04,18,ACTE(VGP),65 ans et plus,97058
2022-2023,2022-11-04,18,DOSES(J07E1),65 ans et plus,219154
2022-2023,2022-11-04,18,ACTE(VGP),moins de 65 ans,23150
2022-2023,2022-11-04,18,DOSES(J07E1),moins de 65 ans,54327
2022-2023,2022-11-05,19,ACTE(VGP),65 ans et plus,31409
2022-2023,2022-11-05,19,DOSES(J07E1),65 ans et plus,101129
2022-2023,2022-11-05,19,ACTE(VGP),moins de 65 ans,13019
2022-2023,2022-11-05,19,DOSES(J07E1),moins de 65 ans,33848
2022-2023,2022-11-06,20,ACTE(VGP),65 ans et plus,565
2022-2023,2022-11-06,20,DOSES(J07E1),65 ans et plus,1210
2022-2023,2022-11-06,20,ACTE(VGP),moins de 65 ans,195
2022-2023,2022-11-06,20,DOSES(J07E1),moins de 65 ans,542
2022-2023,2022-11-07,21,ACTE(VGP),65 ans et plus,112702
2022-2023,2022-11-07,21,DOSES(J07E1),65 ans et plus,237488
2022-2023,2022-11-07,21,ACTE(VGP),moins de 65 ans,22884
2022-2023,2022-11-07,21,DOSES(J07E1),moins de 65 ans,54239
2022-2023,2022-11-08,22,ACTE(VGP),65 ans et plus,133561
2022-2023,2022-11-08,22,DOSES(J07E1),65 ans et plus,266081
2022-2023,2022-11-08,22,ACTE(VGP),moins de 65 ans,24760
2022-2023,2022-11-08,22,DOSES(J07E1),moins de 65 ans,58301
2022-2023,2022-11-09,23,ACTE(VGP),65 ans et plus,102250
2022-2023,2022-11-09,23,DOSES(J07E1),65 ans et plus,208901
2022-2023,2022-11-09,23,ACTE(VGP),moins de 65 ans,21294
2022-2023,2022-11-09,23,DOSES(J07E1),moins de 65 ans,52651
2022-2023,2022-11-10,24,ACTE(VGP),65 ans et plus,116775
2022-2023,2022-11-10,24,DOSES(J07E1),65 ans et plus,230745
2022-2023,2022-11-10,24,ACTE(VGP),moins de 65 ans,26072
2022-2023,2022-11-10,24,DOSES(J07E1),moins de 65 ans,58258
2022-2023,2022-11-11,25,ACTE(VGP),65 ans et plus,697
2022-2023,2022-11-11,25,DOSES(J07E1),65 ans et plus,2327
2022-2023,2022-11-11,25,ACTE(VGP),moins de 65 ans,337
2022-2023,2022-11-11,25,DOSES(J07E1),moins de 65 ans,1123
2022-2023,2022-11-12,26,ACTE(VGP),65 ans et plus,36594
2022-2023,2022-11-12,26,DOSES(J07E1),65 ans et plus,100344
2022-2023,2022-11-12,26,ACTE(VGP),moins de 65 ans,13823
2022-2023,2022-11-12,26,DOSES(J07E1),moins de 65 ans,34557
2022-2023,2022-11-13,27,ACTE(VGP),65 ans et plus,485
2022-2023,2022-11-13,27,DOSES(J07E1),65 ans et plus,1206
2022-2023,2022-11-13,27,ACTE(VGP),moins de 65 ans,184
2022-2023,2022-11-13,27,DOSES(J07E1),moins de 65 ans,508
2022-2023,2022-11-14,28,ACTE(VGP),65 ans et plus,113832
2022-2023,2022-11-14,28,DOSES(J07E1),65 ans et plus,213682
2022-2023,2022-11-14,28,ACTE(VGP),moins de 65 ans,22796
2022-2023,2022-11-14,28,DOSES(J07E1),moins de 65 ans,53117
2022-2023,2022-11-15,29,ACTE(VGP),65 ans et plus,136849
2022-2023,2022-11-15,29,DOSES(J07E1),65 ans et plus,239387
2022-2023,2022-11-15,29,ACTE(VGP),moins de 65 ans,27923
2022-2023,2022-11-15,29,DOSES(J07E1),moins de 65 ans,63544
2022-2023,2022-11-16,30,ACTE(VGP),65 ans et plus,104578
2022-2023,2022-11-16,30,DOSES(J07E1),65 ans et plus,188634
2022-2023,2022-11-16,30,ACTE(VGP),moins de 65 ans,23733
2022-2023,2022-11-16,30,DOSES(J07E1),moins de 65 ans,56587
2022-2023,2022-11-17,31,ACTE(VGP),65 ans et plus,102056
2022-2023,2022-11-17,31,DOSES(J07E1),65 ans et plus,178457
2022-2023,2022-11-17,31,ACTE(VGP),moins de 65 ans,23585
2022-2023,2022-11-17,31,DOSES(J07E1),moins de 65 ans,52559
2022-2023,2022-11-18,32,ACTE(VGP),65 ans et plus,97862
2022-2023,2022-11-18,32,DOSES(J07E1),65 ans et plus,168857
2022-2023,2022-11-18,32,ACTE(VGP),moins de 65 ans,27578
2022-2023,2022-11-18,32,DOSES(J07E1),moins de 65 ans,58462
2022-2023,2022-11-19,33,ACTE(VGP),65 ans et plus,27756
2022-2023,2022-11-19,33,DOSES(J07E1),65 ans et plus,65350
2022-2023,2022-11-19,33,ACTE(VGP),moins de 65 ans,16166
2022-2023,2022-11-19,33,DOSES(J07E1),moins de 65 ans,36452
2022-2023,2022-11-20,34,ACTE(VGP),65 ans et plus,351
2022-2023,2022-11-20,34,DOSES(J07E1),65 ans et plus,973
2022-2023,2022-11-20,34,ACTE(VGP),moins de 65 ans,192
2022-2023,2022-11-20,34,DOSES(J07E1),moins de 65 ans,482
2022-2023,2022-11-21,35,ACTE(VGP),65 ans et plus,85889
2022-2023,2022-11-21,35,DOSES(J07E1),65 ans et plus,146403
2022-2023,2022-11-21,35,ACTE(VGP),moins de 65 ans,21640
2022-2023,2022-11-21,35,DOSES(J07E1),moins de 65 ans,47030
2022-2023,2022-11-22,36,ACTE(VGP),65 ans et plus,108182
2022-2023,2022-11-22,36,DOSES(J07E1),65 ans et plus,178170
2022-2023,2022-11-22,36,ACTE(VGP),moins de 65 ans,23681
2022-2023,2022-11-22,36,DOSES(J07E1),moins de 65 ans,51545
2022-2023,2022-11-23,37,ACTE(VGP),65 ans et plus,82683
2022-2023,2022-11-23,37,DOSES(J07E1),65 ans et plus,138213
2022-2023,2022-11-23,37,ACTE(VGP),moins de 65 ans,20843
2022-2023,2022-11-23,37,DOSES(J07E1),moins de 65 ans,46684
2022-2023,2022-11-24,38,ACTE(VGP),65 ans et plus,113051
2022-2023,2022-11-24,38,DOSES(J07E1),65 ans et plus,178212
2022-2023,2022-11-24,38,ACTE(VGP),moins de 65 ans,27949
2022-2023,2022-11-24,38,DOSES(J07E1),moins de 65 ans,57673
2022-2023,2022-11-25,39,ACTE(VGP),65 ans et plus,105133
2022-2023,2022-11-25,39,DOSES(J07E1),65 ans et plus,164974
2022-2023,2022-11-25,39,ACTE(VGP),moins de 65 ans,32298
2022-2023,2022-11-25,39,DOSES(J07E1),moins de 65 ans,63426
2022-2023,2022-11-26,40,ACTE(VGP),65 ans et plus,31500
2022-2023,2022-11-26,40,DOSES(J07E1),65 ans et plus,63169
2022-2023,2022-11-26,40,ACTE(VGP),moins de 65 ans,19859
2022-2023,2022-11-26,40,DOSES(J07E1),moins de 65 ans,41678
2022-2023,2022-11-27,41,ACTE(VGP),65 ans et plus,356
2022-2023,2022-11-27,41,DOSES(J07E1),65 ans et plus,620
2022-2023,2022-11-27,41,ACTE(VGP),moins de 65 ans,271
2022-2023,2022-11-27,41,DOSES(J07E1),moins de 65 ans,708
2022-2023,2022-11-28,42,ACTE(VGP),65 ans et plus,96937
2022-2023,2022-11-28,42,DOSES(J07E1),65 ans et plus,148720
2022-2023,2022-11-28,42,ACTE(VGP),moins de 65 ans,27370
2022-2023,2022-11-28,42,DOSES(J07E1),moins de 65 ans,54561
2022-2023,2022-11-29,43,ACTE(VGP),65 ans et plus,107953
2022-2023,2022-11-29,43,DOSES(J07E1),65 ans et plus,163771
2022-2023,2022-11-29,43,ACTE(VGP),moins de 65 ans,29006
2022-2023,2022-11-29,43,DOSES(J07E1),moins de 65 ans,56787
2022-2023,2022-11-30,44,ACTE(VGP),65 ans et plus,96493
2022-2023,2022-11-30,44,DOSES(J07E1),65 ans et plus,148711
2022-2023,2022-11-30,44,ACTE(VGP),moins de 65 ans,31432
2022-2023,2022-11-30,44,DOSES(J07E1),moins de 65 ans,62480
2022-2023,2022-12-01,45,ACTE(VGP),65 ans et plus,98508
2022-2023,2022-12-01,45,DOSES(J07E1),65 ans et plus,144823
2022-2023,2022-12-01,45,ACTE(VGP),moins de 65 ans,30236
2022-2023,2022-12-01,45,DOSES(J07E1),moins de 65 ans,56161
2022-2023,2022-12-02,46,ACTE(VGP),65 ans et plus,79211
2022-2023,2022-12-02,46,DOSES(J07E1),65 ans et plus,116458
2022-2023,2022-12-02,46,ACTE(VGP),moins de 65 ans,31255
2022-2023,2022-12-02,46,DOSES(J07E1),moins de 65 ans,55703
2022-2023,2022-12-03,47,ACTE(VGP),65 ans et plus,28893
2022-2023,2022-12-03,47,DOSES(J07E1),65 ans et plus,51716
2022-2023,2022-12-03,47,ACTE(VGP),moins de 65 ans,21594
2022-2023,2022-12-03,47,DOSES(J07E1),moins de 65 ans,40984
2022-2023,2022-12-04,48,ACTE(VGP),65 ans et plus,452
2022-2023,2022-12-04,48,DOSES(J07E1),65 ans et plus,601
2022-2023,2022-12-04,48,ACTE(VGP),moins de 65 ans,387
2022-2023,2022-12-04,48,DOSES(J07E1),moins de 65 ans,788
2022-2023,2022-12-05,49,ACTE(VGP),65 ans et plus,70748
2022-2023,2022-12-05,49,DOSES(J07E1),65 ans et plus,104995
2022-2023,2022-12-05,49,ACTE(VGP),moins de 65 ans,26284
2022-2023,2022-12-05,49,DOSES(J07E1),moins de 65 ans,47891
2022-2023,2022-12-06,50,ACTE(VGP),65 ans et plus,69332
2022-2023,2022-12-06,50,DOSES(J07E1),65 ans et plus,102454
2022-2023,2022-12-06,50,ACTE(VGP),moins de 65 ans,25114
2022-2023,2022-12-06,50,DOSES(J07E1),moins de 65 ans,46135
2022-2023,2022-12-07,51,ACTE(VGP),65 ans et plus,47388
2022-2023,2022-12-07,51,DOSES(J07E1),65 ans et plus,72112
2022-2023,2022-12-07,51,ACTE(VGP),moins de 65 ans,21351
2022-2023,2022-12-07,51,DOSES(J07E1),moins de 65 ans,39354
2022-2023,2022-12-08,52,ACTE(VGP),65 ans et plus,44881
2022-2023,2022-12-08,52,DOSES(J07E1),65 ans et plus,68653
2022-2023,2022-12-08,52,ACTE(VGP),moins de 65 ans,20088
2022-2023,2022-12-08,52,DOSES(J07E1),moins de 65 ans,37284
2022-2023,2022-12-09,53,ACTE(VGP),65 ans et plus,39396
2022-2023,2022-12-09,53,DOSES(J07E1),65 ans et plus,60906
2022-2023,2022-12-09,53,ACTE(VGP),moins de 65 ans,21879
2022-2023,2022-12-09,53,DOSES(J07E1),moins de 65 ans,38786
2022-2023,2022-12-10,54,ACTE(VGP),65 ans et plus,14869
2022-2023,2022-12-10,54,DOSES(J07E1),65 ans et plus,25537
2022-2023,2022-12-10,54,ACTE(VGP),moins de 65 ans,15165
2022-2023,2022-12-10,54,DOSES(J07E1),moins de 65 ans,27047
2022-2023,2022-12-11,55,ACTE(VGP),65 ans et plus,287
2022-2023,2022-12-11,55,DOSES(J07E1),65 ans et plus,374
2022-2023,2022-12-11,55,ACTE(VGP),moins de 65 ans,327
2022-2023,2022-12-11,55,DOSES(J07E1),moins de 65 ans,581
2022-2023,2022-12-12,56,ACTE(VGP),65 ans et plus,32312
2022-2023,2022-12-12,56,DOSES(J07E1),65 ans et plus,47777
2022-2023,2022-12-12,56,ACTE(VGP),moins de 65 ans,17412
2022-2023,2022-12-12,56,DOSES(J07E1),moins de 65 ans,30739
2022-2023,2022-12-13,57,ACTE(VGP),65 ans et plus,33320
2022-2023,2022-12-13,57,DOSES(J07E1),65 ans et plus,48519
2022-2023,2022-12-13,57,ACTE(VGP),moins de 65 ans,17091
2022-2023,2022-12-13,57,DOSES(J07E1),moins de 65 ans,29773
2022-2023,2022-12-14,58,ACTE(VGP),65 ans et plus,23880
2022-2023,2022-12-14,58,DOSES(J07E1),65 ans et plus,36454
2022-2023,2022-12-14,58,ACTE(VGP),moins de 65 ans,14236
2022-2023,2022-12-14,58,DOSES(J07E1),moins de 65 ans,26030
2022-2023,2022-12-15,59,ACTE(VGP),65 ans et plus,25051
2022-2023,2022-12-15,59,DOSES(J07E1),65 ans et plus,36224
2022-2023,2022-12-15,59,ACTE(VGP),moins de 65 ans,14004
2022-2023,2022-12-15,59,DOSES(J07E1),moins de 65 ans,24801
2022-2023,2022-12-16,60,ACTE(VGP),65 ans et plus,24233
2022-2023,2022-12-16,60,DOSES(J07E1),65 ans et plus,34752
2022-2023,2022-12-16,60,ACTE(VGP),moins de 65 ans,15723
2022-2023,2022-12-16,60,DOSES(J07E1),moins de 65 ans,26730
2022-2023,2022-12-17,61,ACTE(VGP),65 ans et plus,9059
2022-2023,2022-12-17,61,DOSES(J07E1),65 ans et plus,14441
2022-2023,2022-12-17,61,ACTE(VGP),moins de 65 ans,9576
2022-2023,2022-12-17,61,DOSES(J07E1),moins de 65 ans,17386
2022-2023,2022-12-18,62,ACTE(VGP),65 ans et plus,195
2022-2023,2022-12-18,62,DOSES(J07E1),65 ans et plus,245
2022-2023,2022-12-18,62,ACTE(VGP),moins de 65 ans,254
2022-2023,2022-12-18,62,DOSES(J07E1),moins de 65 ans,468
2022-2023,2022-12-19,63,ACTE(VGP),65 ans et plus,17325
2022-2023,2022-12-19,63,DOSES(J07E1),65 ans et plus,25503
2022-2023,2022-12-19,63,ACTE(VGP),moins de 65 ans,11937
2022-2023,2022-12-19,63,DOSES(J07E1),moins de 65 ans,20664
2022-2023,2022-12-20,64,ACTE(VGP),65 ans et plus,17418
2022-2023,2022-12-20,64,DOSES(J07E1),65 ans et plus,25271
2022-2023,2022-12-20,64,ACTE(VGP),moins de 65 ans,11801
2022-2023,2022-12-20,64,DOSES(J07E1),moins de 65 ans,19723
2022-2023,2022-12-21,65,ACTE(VGP),65 ans et plus,13496
2022-2023,2022-12-21,65,DOSES(J07E1),65 ans et plus,20041
2022-2023,2022-12-21,65,ACTE(VGP),moins de 65 ans,9952
2022-2023,2022-12-21,65,DOSES(J07E1),moins de 65 ans,17106
2022-2023,2022-12-22,66,ACTE(VGP),65 ans et plus,11721
